Capacidad de Batería (kWh),13.8 kWh,13.8 kWh,13.7 kWh,13.7 kWh,17.3 kWh,18.72 kWh,17.65 kWh,15.86 kWh,26 kWh,22.29 kWh,28.08 kWh,39.82 kWh,31.9 kWh,30.8 kWh,28.9 kWh,30.2 kWh,31.4 kWh,37.9 kWh,30.08 kWh,32.2 kWh,41.3 kWh,31.4 kWh,26.8 kWh,39.4 kWh,30.08 kWh,41 kWh,41.9 kWh,44.12 kWh,39.4 kWh,39.4 kWh,42.4 kWh,42.3 kWh,47.8 kWh,48.35 kWh,55 kWh,43.2 kWh,47.8 kWh,57.7 kWh,58 kWh,42 kWh,63.2 kWh,57.7 kWh,58.3 kWh,42.4 kWh,44.9 kWh,45.12 kWh,44.94 kWh,60 kWh,48.35 kWh,48.3 kWh,49.27 kWh,55.2 kWh,58.3 kWh,49 kWh,51 kWh,44.9 kWh,45.12 kWh,50.82 kWh,51.87 kWh,64.5 kWh,57.7 kWh,61 kWh,51 kWh,55 kWh,60 kWh,49 kWh,50 kWh,45.12 kWh,60.22 kWh,57.7 kWh,56.2 kWh,50.3 kWh,75.26 kWh,58.9 kWh,51 kWh,59 kWh,50.1 kWh,60 kWh,70 kWh,67.1 kWh,64 kWh,61 kWh,62.87 kWh,57 kWh,50.3 kWh,49 kWh,52.8 kWh,67.12 kWh,60.22 kWh,69.9 kWh,77 kWh,65 kWh,84 kWh,73 kWh,85 kWh,84 kWh,108.7 kWh,108.7 kWh,108.7 kWh,63 kWh,85 kWh,85 kWh,63 kWh,85 kWh,
Composición de Batería,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,NCM,NCM,LFP,LFP,LFP,LFP,NCM,NCM,LFP,NCM,LFP,LFP,LFP,LFP,LFP,NCM,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,NCM,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,NCM,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,NCM,LFP,LFP,LFP,LFP,LFP,LFP,LFP,NCM,LFP,LFP,LFP,NCM,LFP,NCM,LFP,LFP,LFP,LFP,LFP,NCM,NCM,LFP,NCM,NCM,NCM,NCM,NCM,NCM,NCM,NCM,NCM,NCM,LFP,NMC,NMC,LFP,NMC,
Autonomía WLTP (km),148 km,148 km,128 km,150 km,176 km,180 km,162 km,164 km,247 km,260 km,247 km,329 km,240 km,250 km,260 km,257 km,271 km,336 km,220 km,250 km,280 km,271 km,265 km,325 km,280 km,270 km,353 km,340 km,320 km,325 km,319 km,353 km,310 km,365 km,350 km,322 km,310 km,420 km,340 km,306 km,410 km,420 km,435 km,319 km,350 km,337 km,341 km,425 km,365 km,324 km,328 km,370 km,435 km,330 km,350 km,350 km,320 km,330 km,400 km,429 km,420 km,450 km,350 km,320 km,450 km,330 km,340 km,320 km,425 km,420 km,374 km,320 km,512 km,392 km,350 km,430 km,340 km,353 km,468 km,459 km,430 km,450 km,463 km,432 km,320 km,310 km,382 km,420 km,430 km,451 km,520 km,476 km,570 km,497 km,570 km,530 km,805 km,805 km,805 km,534 km,750 km,571 km,446 km,609 km,
Tipo de Conector,Tipo 2,Tipo 2,GB/T,Tipo 2,GB/T,Tipo 2,Tipo 2,Tipo 2,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,GB/T,GB/T,CCS2,CCS2,CCS2,GB/T,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,GB/T,CCS2,GB/T,CCS2,CCS2,CCS2,CCS2,GB/T,GB/T,CCS2,CCS2,CCS2,GB/T,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,GB/T,CCS2,GB/T,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,GB/T,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,GB/T,CCS2,CCS2,GB/T,CCS2,GB/T,CCS2,CCS2,CCS2,CCS2,CCS2,GB/T,CCS2,GB/T,CCS2,GB/T,CCS2,CCS2,GB/T,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,CCS2,
Velocidad de Carga AC (kW),3.3 kW,3.3 kW,,,3.3 kW,,3.3 kW,2.3 kW,,,,,5.5 kW,7 kW,7 kW,,3.3 kW,3.3 kW,6.6 kW,3.3 kW,,3.3 kW,7 kW,6.6 kW,6.6 kW,6.6 kW,6.6 kW,6.6 kW,6.6 kW,6.6 kW,7 kW,6.6 kW,11 kW,,7 kW,11 kW,11 kW,11 kW,6.6 kW,6.6 kW,,11 kW,6.6 kW,7 kW,6.6 kW,6.6 kW,6.6 kW,6.6 kW,,6.6 kW,6.6 kW,,6.6 kW,7 kW,9.9 kW,6.6 kW,6.6 kW,7.7 kW,6.6 kW,6.6 kW,11 kW,9.9 kW,9.9 kW,,,7 kW,11 kW,6.6 kW,11 kW,11 kW,7.4 kW,6.6 kW,6.6 kW,9.9 kW,6.6 kW,9.9 kW,,6.6 kW,9.9 kW,7.4 kW,7 kW,9.9 kW,,6.6 kW,6.6 kW,7.4 kW,,7 kW,11 kW,6.6 kW,11 kW,7 kW,11 kW,22 kW,22 kW,11 kW,11 kW,11 kW,11 kW,11 kW,11 kW,11 kW,11 kW,11 kW,
Velocidad de Carga DC (kW),,,,,15 kW,,,,,22 kW,,,50 kW,60 kW,,,60 kW,40 kW,30 kW,,,60 kW,,70 kW,30 kW,,40 kW,64 kW,,70 kW,,60 kW,64 kW,,60 kW,85 kW,64 kW,80 kW,,50 kW,,80 kW,120 kW,,65 kW,80 kW,167 kW,87 kW,,50 kW,,,120 kW,120 kW,110 kW,65 kW,65 kW,60 kW,167 kW,150 kW,80 kW,110 kW,110 kW,,,120 kW,100 kW,65 kW,110 kW,80 kW,140 kW,92 kW,180 kW,80 kW,88 kW,110 kW,,100 kW,93 kW,140 kW,150 kW,110 kW,,120 kW,92 kW,130 kW,,60 kW,110 kW,83 kW,144 kW,,350 kW,160 kW,150 kW,350 kW,400 kW,400 kW,400 kW,250 kW,250 kW,250 kW,250 kW,250 kW,
MOTOR Y TRACCIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potencia,34 cv,34 cv,26 cv,26 cv,40 cv,40 cv,46 cv,40 cv,40 cv,40 cv,54 cv,54 cv,68 cv,61 cv,45 cv,60 cv,95 cv,68 cv,75 cv,74 cv,107 cv,95 cv,65 cv,116 cv,75 cv,134 cv,100 cv,134 cv,80 cv,116 cv,94 cv,95 cv,171 cv,164 cv,136 cv,88 cv,171 cv,171 cv,161 cv,102 cv,200 cv,171 cv,204 cv,94 cv,93 cv,173 cv,160 cv,200 cv,164 cv,163 cv,201 cv,134 cv,204 cv,167 cv,201 cv,173 cv,173 cv,161 cv,160 cv,181 cv,171 cv,201 cv,201 cv,148 cv,147 cv,167 cv,136 cv,173 cv,214 cv,171 cv,218 cv,177 cv,200 cv,211 cv,170 cv,201 cv,192 cv,201 cv,200 cv,218 cv,167 cv,201 cv,164 cv,218 cv,177 cv,272 cv,170 cv,211 cv,214 cv,218 cv,241 cv,248 cv,228 cv,325 cv,288 cv,228 cv,469 cv,469 cv,469 cv,283 cv,320 cv,460 cv,299 cv,347 cv,
Torque,100 Nm,100 Nm,85 Nm,,,,83 Nm,85 Nm,,110 Nm,110 Nm,110 Nm,125 Nm,150 Nm,115 Nm,150 Nm,160 Nm,150 Nm,135 Nm,170 Nm,158 Nm,160 Nm,115 Nm,150 Nm,135 Nm,175 Nm,180 Nm,145 Nm,130 Nm,150 Nm,176 Nm,160 Nm,250 Nm,200 Nm,260 Nm,175 Nm,250 Nm,250 Nm,210 Nm,180 Nm,225 Nm,250 Nm,260 Nm,176 Nm,180 Nm,290 Nm,230 Nm,210 Nm,200 Nm,240 Nm,310 Nm,225 Nm,260 Nm,250 Nm,288 Nm,290 Nm,290 Nm,240 Nm,230 Nm,240 Nm,250 Nm,340 Nm,288 Nm,340 Nm,225 Nm,250 Nm,260 Nm,290 Nm,320 Nm,250 Nm,240 Nm,280 Nm,240 Nm,288 Nm,250 Nm,288 Nm,340 Nm,310 Nm,310 Nm,240 Nm,250 Nm,340 Nm,200 Nm,310 Nm,280 Nm,343 Nm,310 Nm,285 Nm,320 Nm,320 Nm,350 Nm,360 Nm,350 Nm,509 Nm,451 Nm,350 Nm,645 Nm,645 Nm,645 Nm,450 Nm,450 Nm,741 Nm,420  Nm,500 Nm,
Aceleración 0 a 100,,,,,,,,,,,,,,,,10.7 s,,,13.9 s,,14 s,,14.6 s,10.6 s,13.9 s,,,11.4 s,15 s,10.6 s,8 s,,8.3 s,,,12.1 s,8.3 s,8.3 s,9.5 s,,7.9 s,8.3 s,7.7 s,8 s,8 s,8 s,8.9 s,7.3 s,,8.8 s,,,7.7 s,7.1 s,7.6 s,7.5 s,7.9 s,,9.2 s,7.9 s,8.3 s,7.6 s,7.6 s,10 s,9.6 s,7.1 s,8.7 s,7.9 s,6.9 s,8.3 s,8 s,8.5 s,7.9 s,7.7 s,7.7 s,7.6 s,7.6 s,9.9 s,7.7 s,6.8 s,8 s,7.6 s,,,8.5 s,6.7 s,,8 s,7.1 s,7.5 s,6.5 s,7 s,7.5 s,6 s,5.8 s,7.5 s,4.9 s,4.9 s,4.9 s,6.2 s,5.1 s,3.1 s,5.9 s,5.1 s,
Velocidad Máxima,90 km/h,90 km/h,100 km/h,100 km/h,100 km/h,100 km/h,101 km/h,100 km/h,,100 km/h,100 km/h,100 km/h,110 km/h,120 km/h,100 km/h,102 km/h,140 km/h,130 km/h,130 km/h,125 km/h,130 km/h,140 km/h,130 km/h,140 km/h,130 km/h,150 km/h,150 km/h,150 km/h,121 km/h,140 km/h,145 km/h,140 km/h,170 km/h,,130 km/h,150 km/h,170 km/h,170 km/h,160 km/h,150 km/h,150 km/h,170 km/h,170 km/h,145 km/h,150 km/h,160 km/h,150 km/h,150 km/h,,150 km/h,180 km/h,,170 km/h,175 km/h,172 km/h,160 km/h,160 km/h,,150 km/h,160 km/h,170 km/h,172 km/h,172 km/h,150 km/h,140 km/h,175 km/h,150 km/h,160 km/h,175 km/h,170 km/h,170 km/h,175 km/h,160 km/h,175 km/h,160 km/h,172 km/h,150 km/h,170 km/h,150 km/h,170 km/h,175 km/h,172 km/h,,165 km/h,175 km/h,180 km/h,,180 km/h,175 km/h,170 km/h,180 km/h,180 km/h,185 km/h,180 km/h,182 km/h,185 km/h,210 km/h,210 km/h,210 km/h,201 km/h,201 km/h,262 km/h,201 km/h,201 km/h,
Tipo de Tracción,Trasera,Trasera,Trasera,Trasera,,Trasera,Delantera,Delantera,Trasera,Trasera,Delantera,Delantera,Delantera,Trasera,Delantera,Delantera,Delantera,Delantera,Delantera,Delantera,Delantera,Delantera,Delantera,Trasera,Delantera,Delantera,Delantera,Delantera,Delantera,Trasera,Delantera,Delantera,Delantera,Delantera,Delantera,Delantera,Delantera,Delantera,Delantera,Delantera,,Delantera,Delantera,Delantera,Delantera,Delantera,Delantera,Delantera,Delantera,Delantera,Delantera,Delantera,Delantera,Trasera,Delantera,Delantera,Delantera,Delantera,Delantera,Delantera,Delantera,Delantera,Delantera,Delantera,Delantera,Trasera,Delantera,Delantera,Delantera,Delantera,Trasera,Delantera,Delantera,Delantera,Trasera,Delantera,Delantera,Delantera,Delantera,Trasera,Trasera,Delantera,Delantera,Trasera,Delantera,Trasera,,Trasera,Delantera,Trasera,Trasera,Delantera,Trasera,Integral,Integral,Trasera,Integral,Integral,Integral,Trasera,Trasera,Integral,Trasera,Trasera,
EQUIPAMIENTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Techo Panorámico,,,,,,,,,,,,,,,,,,,,,Sí,,,,,Sí,,,Sí,,,,,Sí,,,,,Sí,,Sí,,,Sí,,,,Sí,Sí,,Sí,,Sí,,,Sí,,Sí,,Sí,Sí,,,Sí,,,,Sí,,Sí,Sí,,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,,,Sí,Sí,Sí,,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,
Asientos Calefaccionados,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Sí,,,,,,,,,,,,,,,,,Sí,,,Sí,,Sí,,,,Sí,,,,,,Sí,Sí,Sí,,Sí,Sí,,Sí,,,,Sí,,,Sí,,,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,
Asientos con Masajes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,Sí,,,,Sí,,,Sí,,,Sí,,,Sí,,,,Sí,,,,,,,,Sí,Sí,Sí,,,,Sí,,,,,,No,No,No,No,No,
Neumáticos,145/60 R13,145/60 R13,145/70 R12,155/65 R13,155/70 R13,165/60 R14,165/70 R14,165/65 R14,155/70 R13,165/60 R14,165/65 R15,165/65 R15,165/65 R15,165/65 R15,165/70 R14,165/65 R14,215/55 R17,185/60 R15,175/55 R16,175/60 R15,165/65 R15,215/55 R17,175/70 R14,205/65 R15,175/55 R16,205/55 R17,205/60 R16,215/60 R17,205/60 R16,205/60 R16,215/55 R17,215/55 R17,215/50 R18,215/60 R17,215/55 R17,175/55 R16,215/50 R18,215/50 R18,225/60 R18,205/60 R16,215/55 R17,215/50 R18,225/60 R18,215/55 R18,195/60 R16,215/65 R17,215/55 R17,215/60 R17,215/60 R17,215/50 R17,235/55 R19,215/55 R17,225/60 R18,205/50 R17,215/60 R17,205/50 R17,215/65 R17,225/60 R18,215/55 R18,225/45 R19,215/50 R18,215/55 R18,215/60 R17,225/45 R18,215/50 R17,215/55 R18,215/55 R18,215/65 R17,225/55 R18,215/50 R18,225/50 R18-235/50 R18,215/50 R17,225/45 R19,235/55 R18,215/50 R17,215/60 R17,215/55 R17,235/55 R18,225/45 R18,225/50 R18-235/50 R18,215/55 R18,215/55 R18,215/55 R18,235/50 R18,215/50 R17,235/50 R18,215/55 R18,235/55 R19,235/50 R19,245/45 R20,235/45 R18,235/50 R19,235/55 R19,235/50 R20,245/55 R19,255/45 R20,255/45 R20,255/40 R21,255/35 R22 / 275/35 R22,235/45 R18,235/45 R18,235/35 R20 275/35 R20,255/45 R19,255/45 R19,
Rueda de auxilio,,,,,,,,,,,,,,,,,,,,,,,,Sí,,Sí,,Sí,,Sí,,,,,,,,,,,Sí,,Sí,,Sí,Sí,,Sí,,,,,Sí,,Sí,Sí,Sí,,,Sí,,,Sí,,,,,Sí,Sí,,,,Sí,,,Sí,Sí,Sí,Sí,,,,,,,,,,Sí,,,,,,,,Sí,Sí,Sí,No,No,No,No,No,
Conectividad Apple / Android,,,,,,SI,SI,SI,,SI,SI,SI,,,,SI,SI,SI,SI,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,,,SI,SI,SI,SI,SI,SI,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,No,No,No,No,No,
Otros extras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cámaras 360,,,,Sí,,,,,,,Sí,Sí,Sí,,,,,Sí,,,,,,,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,,,,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,,,Sí,,,Sí,Sí,,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,,Sí,Sí,,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,,Sí,Sí,Sí,Sí,,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,
